pretty_formula,band_gap,HOMO,gamma,mv_A,B_covalent_radius,A_B_bond,Z_B,X_A,c,A_O_bond,mB,beta,formation_energy_per_atom,B_O_bond,alpha,target
V2O5,2.166,-0.338381,90,8.32,134,1.908781,23,1.63,11.551508,1.609841,50.9415,90,-2.295243849,1.609841,90,1
MoO3,1.3723,-0.338381,90,9.38,138,2.275839,42,2.16,8.008298559,1.778721,95.94,90,-2.018161948,1.778721,90,0
Al2O3,5.8537,-0.338381,60,10,126,2.678234,13,1.61,5.17795526,1.873219,26.98,62.35519313,-3.43572833,1.873219,62.35519313,0
Ga2O3,2.0084,-0.338381,90,11.8,124,3.161544,31,1.81,6.414204999,1.967048,69.723,103.9056326,-2.278169651,1.971246,103.2751198,0
MnWO4,2.3193,-0.26654,90.0008339,7.35,137,2.125250305,8,1.55,6.21765077,3.398330453,15.9994,108.1880461,-2.214452725,1.924186788,108.1880595,0
CrFeO4,0.6675,-0.295049,84.83128828,7.23,116,3.403909042,26,1.66,6.83382081,1.681394358,55.845,78.01144312,-1.379729191,1.907320898,78.01144312,0
LaCrO3,1.9218,-0.141085,90.00002052,22.39,122,3.257205555,24,1.1,7.879166,2.403642722,51.9961,89.99981274,-3.11714152,2.021477609,90.0000845,0
CaZrO3,3.4707,-0.338381,90,26.2,154,3.31348186,40,1,8.106924,2.343980467,91.224,90,-3.655214443,2.120608846,90,0
Zn(GaO2)2,2.3123,-0.338381,60,9.16,124,3.506916969,31,1.65,5.98141768,2.003122779,69.723,60,-2.185731776,2.020488566,60,0
SmMn2O5,1.1011,-0.26654,90,19.98,119,3.379828795,25,1.17,8.67377,2.382487453,54.938045,90,-1.795096188,1.910019076,90,0
SrMoO4,3.8074,-0.338381,90.00000001,33.94,138,3.881159217,42,0.95,7.23921114,2.614896703,95.94,112.2780232,-2.730392237,1.80399559,112.2780232,0
MnNb2O6,2.5103,-0.26654,90,7.35,147,3.569158216,41,1.55,14.651016,2.167901418,92.90638,90,-2.59077434,1.834793289,90,0
Ta2NiO6,2.7623,-0.338381,90,10.85,110,3.041093189,28,1.5,9.177888,1.987164981,58.6934,90,-2.519617888,2.098834251,90,0
Mn2CdO4,0.8878,-0.26654,90.12982614,7.35,136,3.538597434,48,1.55,6.512191441,1.966684158,112.411,117.0146187,-1.882550621,2.191927351,117.0170673,0
MgAl2O4,4.5557,-0.338381,90,14,126,2.788601739,13,1.31,8.76286551,2.110338961,26.9815386,90,-3.361409432,1.889889336,120.0000019,0
TiO2,2.6786,-0.338381,107.0181414,17.36,136,2.542338,8,3.44,6.61621224,1.781132,15.9994,90,-3.511964735,1.781132,106.1821844,0
Fe2O3,1.5284,-0.295049,60,7.09,116,2.898835,26,1.83,5.495031927,1.979837,55.845,62.32232309,-1.907358343,1.979837,62.32232309,1
NbAgO3,1.0675,-0.298706,90,10.83,128,3.319498356,47,1.6,15.765765,1.891693318,107.8682,90,-2.179087173,2.421157587,90,0
Nb2CdO6,3.424,-0.338381,90,10.83,136,3.525500213,48,1.6,15.04688,1.826069455,112.411,90,-2.728648699,2.271258894,90,0
SrCrO3,0.0312,-0.150445,90,33.94,122,3.371608817,24,0.95,3.8932042,2.752907071,51.9961,90,-2.547694114,1.946599258,90,0
NbCoO4,1.591,-0.322368,107.3968286,10.83,111,3.160336419,27,1.6,6.55160353,1.8103803,58.933195,90,-2.314196317,1.880402712,107.0395374,0
Co2SnO4,0,-0.322368,60.62176822,6.67,140,3.102107875,50,1.88,6.20421575,2.023173649,118.71,60.62176822,-1.178858559,2.069683456,61.07910437,0
CuFe2O4,0,-0.295049,119.7693488,7.09,112,3.511026689,29,1.83,6.02039288,2.014061497,63.546,119.763854,-1.552464289,1.988465702,90.26600252,0
ZnMn2O4,0,-0.26654,90.12464979,7.35,118,3.447716572,30,1.55,6.235231255,1.95884323,65.409,117.6689026,-1.904730649,2.008142095,117.6705754,0
CoMn2O4,0.8007,-0.26654,89.99996054,7.35,111,3.441347504,27,1.55,6.23129353,1.955932664,58.933195,117.5411361,-1.887913209,1.994428323,117.7779903,0
TiCoO3,0,-0.322368,119.9700125,6.67,111,2.061261572,8,1.88,5.529200482,2.960407244,15.9994,117.4305555,-2.683511525,1.882418506,90.06678012,1
