pretty_formula,rA,rB,mA,mB,orb_A,orb_B,Z_A,Z_B,X_A,X_B,air_A,air_B,mv_A,mv_B,a,b,c,alpha,beta,gamma,volume,A_B_bond,A_O_bond,B_O_bond,energy,EPA,FEPA,nsites,Band_gap,Density,CR_A,CR_B,IE_A,IE_B,A_valence,B_valence,EPS_A,EPS_B,DP_A,DP_B,SH_A,SH_B,TC_A,TC_B,A_density,B_density,MP_A,MP_B,BP_A,BP_B,FH_A,FH_B,EH_A,EH_B,LUMO,HOMO,target
LaCoO3,1.95,1.35,138.90547,58.933195,3,2,57,27,1.1,1.88,1.172,0.768333333,22.39,6.67,5.46019128,5.49096933,5.54274189,60.58814003,60.66548376,60.89372262,119.4041339,3.345546496,2.373517622,1.882584199,-143.9060157,-7.195300784,-2.613836522,20,1.0058,6.890196161,180,111,5.5769,7.88101,3,9,2,2,215,55,0.197,0.456,13.4,100,6.15,8.9,1194,1768,3730,3143,8.5,15.48,402,389.1,-0.322368,-0.322368,0
SrMnO3,2,1.4,87.62,54.938045,0,2,38,25,0.95,1.55,1.32,0.648333333,33.94,7.35,5.523762178,5.52375708,9.249444,90,90,120.0000554,244.4080802,3.356269395,2.761874738,1.907000136,-130.6792372,-6.53396186,-2.152495064,20,1.0065,5.128040217,185,119,5.6948672,7.434018,2,7,2,2,197.2,68,0.301,0.477,35.3,7.8,2.54,7.21,1042,1517,1657,2235,9.2,13.4,144,221,-0.26654,-0.26654,1
ZnWO4,1.35,1.35,65.409,183.84,2,2,30,74,1.65,2.36,0.88,0.766666667,9.16,9.47,5.025075999,5.025075999,6.4970909,112.750399,112.750399,90,137.3510658,3.553265314,2.237064554,1.842596418,-77.81583673,-6.484653061,-2.009778236,12,3.5523,6.546533504,118,137,9.394199,7.86403,12,6,2,2,38.67,68,0.388,0.133,116,173,7.133,19.3,692.73,3680,1180,5930,7.28,35,114.8,824,-0.222725,-0.338381,0
V2Co3O8,1.35,1.35,50.9415,58.933195,2,2,23,27,1.63,1.88,0.7775,0.768333333,8.32,6.67,6.062936003,6.5690911,8.434964,90,90,117.482295,298.0370532,3.446441625,1.735798134,2.063915776,-172.6810665,-6.641579482,-1.682426446,26,1.7421,4.531680422,134,111,6.746187,7.88101,5,9,2,2,87,55,0.485,0.456,30.7,100,6.11,8.9,2160,1768,3650,3143,17.5,15.48,460,389.1,-0.322368,-0.322368,1
ZnCr2O4,1.35,1.4,65.409,51.9961,2,2,30,24,1.65,1.66,0.88,0.94,9.16,7.23,5.995269078,5.99526398,5.99526536,90.01183423,119.9933226,119.9930204,152.3895515,3.51478595,2.002216846,2.027718065,-87.59815272,-6.257010909,-1.468122706,14,1.642,5.492528311,118,122,9.394199,6.76651,12,6,2,1,38.67,83,0.388,0.488,116,93.9,7.133,7.18,692.73,2130,1180,2945,7.28,21,114.8,342,-0.118123,-0.150445,1
Mn2CdO4,1.4,1.55,54.938045,112.411,2,2,25,48,1.55,1.69,0.648333333,1.09,7.35,13,5.92959148,5.92958934,6.512191441,117.0170673,117.0146187,90.12982614,175.3366207,3.538597434,1.966684158,2.191927351,-92.05686328,-6.575490234,-1.882550621,14,0.8878,5.422562634,119,136,7.434018,8.993822,7,12,2,2,68,46,0.477,0.232,7.8,96.9,7.21,8.65,1517,594.1,2235,1038,13.4,6.11,221,59.1,-0.26654,-0.26654,1
Cr2CdO4,1.4,1.55,51.9961,112.411,2,2,24,48,1.66,1.69,0.94,1.09,7.23,13,6.20340989,6.203409892,6.203409705,59.99999616,59.99999619,60.00000116,168.8015392,3.637071077,2.044188068,2.179840821,-96.60556193,-6.900397281,-2.161974481,14,2.4816,5.516732579,122,136,6.76651,8.993822,6,12,1,2,83,46,0.488,0.232,93.9,96.9,7.18,8.65,2130,594.1,2945,1038,21,6.11,342,59.1,-0.118123,-0.150445,1
Cr2NiO4,1.4,1.35,51.9961,58.6934,2,2,24,28,1.66,1.91,0.94,0.74,7.23,6.59,5.94522398,5.98732972,6.000705151,119.7771702,119.6471644,90.10557082,152.2072744,3.4788641,2.013466124,1.994029779,-99.65660587,-7.118328991,-1.99281776,14,2.4279,5.016092918,122,110,6.76651,7.639877,6,10,1,2,83,49,0.488,0.443,93.9,90.9,7.18,8.902,2130,1726,2945,3005,21,17.61,342,378.6,-0.150445,-0.150445,1
MnCr2O4,1.4,1.4,54.938045,51.9961,2,2,25,24,1.55,1.66,0.648333333,0.94,7.35,7.23,6.069317064,6.0693147,6.06931786,60.12091798,60.12094766,60.1208647,158.5230344,3.557618713,2.064669132,2.033377807,-112.4106221,-8.02933015,-2.351671131,14,2.3763,4.670367188,119,122,7.434018,6.76651,7,6,2,1,68,83,0.477,0.488,7.8,93.9,7.21,7.18,1517,2130,2235,2945,13.4,21,221,342,-0.191136,-0.191136,1
Nb2CoO6,1.45,1.35,92.90638,58.933195,2,2,41,27,1.6,1.88,0.82,0.768333333,10.83,6.67,5.097999,5.832114,14.330026,90,90,90,426.0619285,3.532829294,1.843187367,2.086910222,-299.449436,-8.31803989,-2.661270924,36,1.3073,5.24198169,147,111,6.75885,7.88101,5,9,1,2,98,55,0.268,0.456,53.7,100,8.57,8.9,2741,1768,5015,3143,26.8,15.48,680,389.1,-0.322368,-0.322368,1
Nb2ZnO6,1.45,1.35,92.90638,65.409,2,2,41,30,1.6,1.65,0.82,0.88,10.83,9.16,5.090563,5.850563,14.41216,90,90,90,429.2324545,3.528012792,1.836694914,2.082415815,-287.6443087,-7.990119685,-2.775001519,36,3.2709,5.373026239,147,118,6.75885,9.394199,5,12,1,2,98,38.67,0.268,0.388,53.7,116,8.57,7.133,2741,692.73,5015,1180,26.8,7.28,680,114.8,-0.222725,-0.338381,0
La2NiO4,1.95,1.35,138.90547,58.6934,3,2,57,28,1.1,1.91,1.172,0.74,22.39,6.59,5.511652,5.676467,6.802239747,89.99941545,66.10143256,89.99891409,194.5734146,3.231123967,2.326303745,1.98643485,-206.5345663,-7.376234512,-3.023306243,28,1.5036,6.808946674,180,110,5.5769,7.639877,3,10,2,2,215,49,0.197,0.443,13.4,90.9,6.15,8.902,1194,1726,3730,3005,8.5,17.61,402,378.6,-0.338381,-0.338381,0
Ta2Zn3O8,1.45,1.35,180.94788,65.409,2,2,73,30,1.5,1.65,0.82,0.88,10.85,9.16,6.18578249,6.18578249,9.65011501,71.64292718,71.64292718,87.06026848,332.1559686,3.35382776,1.911211373,1.949391624,-191.6380762,-7.37069524,-2.643059846,26,3.5074,6.860184764,146,118,7.54957,9.394199,5,12,2,2,74,38.67,0.14,0.388,57.5,116,16.654,7.133,3269,692.73,5698,1180,24.7,7.28,758,114.8,-0.222725,-0.338381,0
CoWO4,1.35,1.35,58.933195,183.84,2,2,27,74,1.88,2.36,0.768333333,0.766666667,6.67,9.47,4.70136494,5.06170178,5.76685002,90.0051847,90.00444228,89.23796235,137.2210568,3.56516669,2.098916841,1.840169387,-85.13843815,-7.094869846,-1.957518823,12,2.2831,7.424587646,111,137,7.88101,7.86403,9,6,2,2,55,68,0.456,0.133,100,173,8.9,19.3,1768,3680,3143,5930,15.48,35,389.1,824,-0.322368,-0.322368,0
V2Zn3O8,1.35,1.35,50.9415,65.409,2,2,23,30,1.63,1.65,0.7775,0.88,8.32,9.16,6.180112001,6.64226665,8.381382,90,90,117.7238832,304.5577014,3.410979952,1.729886115,2.046147565,-159.389357,-6.130359884,-2.088481584,26,2.7096,4.646504204,134,118,6.746187,9.394199,5,12,2,2,87,38.67,0.485,0.388,30.7,116,6.11,7.133,2160,692.73,3650,1180,17.5,7.28,460,114.8,-0.222725,-0.338381,0
V2Ni3O8,1.35,1.35,50.9415,58.6934,2,2,23,28,1.63,1.91,0.7775,0.74,8.32,6.59,6.004827,6.507983447,8.355164,90,90,117.4738067,289.6904236,3.394709789,1.730867188,2.03220567,-165.812612,-6.377408155,-1.791754194,26,2.5737,4.654001079,134,110,6.746187,7.639877,5,10,2,2,87,49,0.485,0.443,30.7,90.9,6.11,8.902,2160,1726,3650,3005,17.5,17.61,460,378.6,-0.338381,-0.338381,0
Zn2SnO4,1.35,1.45,65.409,118.71,2,1,30,50,1.65,1.96,0.88,0.83,9.16,16.29,6.19975528,6.19975528,6.19975528,60,60,60,168.5033904,3.634928734,2.133117697,2.003140587,-72.4871625,-5.177654464,-1.821386169,14,0.4114,6.179359331,118,140,9.394199,7.343917,12,4,2,4,38.67,53,0.388,0.222,116,66.8,7.133,7.31,692.73,505.1,1180,2543,7.28,7.07,114.8,296,-0.338381,-0.338381,0
V2Cd2O7,1.35,1.55,50.9415,112.411,2,2,23,48,1.63,1.69,0.7775,1.09,8.32,13,5.10125904,5.84026919,5.84026919,75.46906595,81.79328754,98.20671246,163.7862054,3.628154021,1.731863232,2.274585635,-69.35752463,-6.305229512,-2.09315895,11,2.5472,4.44774823,134,136,6.746187,8.993822,5,12,2,2,87,46,0.485,0.232,30.7,96.9,6.11,8.65,2160,594.1,3650,1038,17.5,6.11,460,59.1,-0.204634,-0.338381,0
CoMoO4,1.35,1.45,58.933195,95.94,2,2,27,42,1.88,2.16,0.768333333,0.775,6.67,9.38,6.63341453,6.63341453,7.81613041,72.65047352,72.65047352,85.26845478,313.3359226,3.227134552,2.017030367,1.759221398,-156.0848036,-6.503533483,-1.581597681,24,1.9885,4.639665921,111,138,7.88101,7.09243,9,6,2,1,55,87,0.456,0.251,100,138,8.9,10.22,1768,2890,3143,4885,15.48,28,389.1,590,-0.322368,-0.322368,0
ZnMoO4,1.35,1.45,65.409,95.94,2,2,30,42,1.65,2.16,0.88,0.775,9.16,9.38,4.749686,4.96663203,5.84547,90,90,90.957856,137.8750328,3.484602249,2.041753724,1.810156492,-224.8056766,-6.244602127,-1.985142524,36,3.5378,4.096277097,118,138,9.394199,7.09243,12,6,2,1,38.67,87,0.388,0.251,116,138,7.133,10.22,692.73,2890,1180,4885,7.28,28,114.8,590,-0.222725,-0.338381,0
Fe2NiO4,1.4,1.35,55.845,58.6934,2,2,26,28,1.83,1.91,0.8525,0.74,7.09,6.59,5.99628106,5.99628106,5.99628106,60,60,60,152.4512345,3.515631398,2.04582039,1.969500776,-87.69662401,-6.264044572,-1.682462036,14,1.3682,5.170922399,116,110,7.9024678,7.639877,8,10,2,2,62,49,0.443,0.443,80.4,90.9,7.874,8.902,1808,1726,3023,3005,13.8,17.61,340,378.6,-0.295049,-0.295049,1
CdMoO4,1.55,1.45,112.411,95.94,2,2,48,42,1.69,2.16,1.09,0.775,13,9.38,5.254954002,5.254954002,6.80978995,112.6957857,112.6957857,90,157.5867998,3.715813609,2.446129706,1.811317213,-73.0704914,-6.089207617,-1.888624317,12,2.4709,5.739636617,136,138,8.993822,7.09243,12,6,2,1,46,87,0.232,0.251,96.9,138,8.65,10.22,594.1,2890,1038,4885,6.11,28,59.1,590,-0.204228,-0.338381,0
TiZnO3,1.4,1.35,47.867,65.409,2,2,22,30,1.54,1.65,0.851666667,0.88,10.64,9.16,3.843088,3.843088,3.843088,90,90,90,56.75981712,3.328211837,1.921544,2.717473585,-71.8017766,-7.18017766,-2.80187569,10,2.9845,5.007411058,136,118,6.82812,9.394199,4,12,2,2,100,38.67,0.523,0.388,21.9,116,4.54,7.133,1933,692.73,3560,1180,18.8,7.28,422.6,114.8,-0.222725,-0.338381,0
TiNiO3,1.4,1.35,47.867,58.6934,2,2,22,28,1.54,1.91,0.851666667,0.74,10.64,6.59,5.076668939,5.49939771,25.24768956,93.62357488,90.09094728,117.4146279,624.0954123,2.814936982,1.772514871,1.977803109,-440.549018,-7.342483634,-2.492909425,60,1.5112,4.934833695,136,110,6.82812,7.639877,4,10,2,2,100,49,0.523,0.443,21.9,90.9,4.54,8.902,1933,1726,3560,3005,18.8,17.61,422.6,378.6,-0.338381,-0.338381,0
VBiO4,1.35,1.6,50.9415,208.9804,2,1,23,83,1.63,2.02,0.7775,1.035,8.32,21.31,6.14887432,6.303916005,6.46780191,60.83471765,77.66423453,63.99888125,196.7620056,3.300446672,1.698844609,2.293450719,-82.25482723,-6.854568936,-2.142996532,12,2.2378,6.812198836,134,151,6.746187,7.285516,5,5,2,5,87,48,0.485,0.124,30.7,7.9,6.11,9.747,2160,544.5,3650,1883,17.5,11,460,172,-0.204634,-0.338381,0
CdWO4,1.55,1.35,112.411,183.84,2,2,48,74,1.69,2.36,1.09,0.766666667,13,9.47,5.103535,5.19925965,5.991492,90,90,92.09542192,158.875557,3.673890044,2.271011675,1.833890398,-76.87806461,-6.406505384,-1.990506863,12,3.2559,7.530508482,136,137,8.993822,7.86403,12,6,2,2,46,68,0.232,0.133,96.9,173,8.65,19.3,594.1,3680,1038,5930,6.11,35,59.1,824,-0.220603,-0.338381,0
LaMnO3,1.95,1.4,138.90547,54.938045,3,2,57,25,1.1,1.55,1.172,0.648333333,22.39,7.35,4.015851,5.563543,5.565174,90,90,90,124.3391194,3.430745909,2.534899904,2.0079255,-148.3741808,-7.418709039,-2.387937073,20,0.9616,4.819516767,180,119,5.5769,7.434018,3,7,2,2,215,68,0.197,0.477,13.4,7.8,6.15,7.21,1194,1517,3730,2235,8.5,13.4,402,221,-0.26654,-0.26654,0
V2O5,1.35,1.35,50.9415,50.9415,2,2,23,23,1.63,1.63,0.7775,0.7775,8.32,8.32,3.618658,4.797293,11.551508,90,90,90,200.5314376,1.908781,1.609841,1.609841,-104.1914933,-7.442249519,-2.295243849,14,2.166,3.012184465,134,134,6.746187,6.746187,5,5,2,2,87,87,0.485,0.485,30.7,30.7,6.11,6.11,2160,2160,3650,3650,17.5,17.5,460,460,-0.204634,-0.338381,1
MoO3,1.45,1.45,95.94,95.94,2,2,42,42,2.16,2.16,0.775,0.775,9.38,9.38,7.436809,7.795754,8.008298559,90,90,90,464.2814646,2.275839,1.778721,1.778721,-224.9942347,-7.031069834,-2.018161948,32,1.3723,4.118450011,138,138,7.09243,7.09243,6,6,1,1,87,87,0.251,0.251,138,138,10.22,10.22,2890,2890,4885,4885,28,28,590,590,-0.153347,-0.338381,0
Al2O3,1.25,1.25,26.98,26.98,1,1,13,13,1.61,1.61,0.675,0.675,10,10,4.80502783,4.80502783,5.17795526,62.35519313,62.35519313,60,87.42003925,2.678234,1.873219,1.873219,-74.81357943,-7.481357943,-3.43572833,10,5.8537,3.873498277,126,126,5.9857684,5.9857684,3,3,3,3,57.8,57.8,0.9,0.9,237,237,2.6989,2.6989,933.5,933.5,2740,2740,10.75,10.75,284.1,284.1,-0.286883,-0.338381,0
Ga2O3,1.3,1.3,69.723,69.723,1,1,31,31,1.81,1.81,0.76,0.76,11.8,11.8,3.082968,5.87615358,6.414204999,103.2751198,103.9056326,90,109.5927631,3.161544,1.967048,1.971246,-60.368049,-6.0368049,-2.278169651,10,2.0084,5.680273092,124,124,5.9993018,5.9993018,3,3,3,3,50,50,0.372,0.372,28.1,28.1,5.91,5.91,302.93,302.93,2676,2676,5.59,5.59,270.3,270.3,-0.328019,-0.338381,0
MnWO4,1.4,0.6,54.938045,15.9994,2,1,25,8,1.55,3.44,0.648333333,1.26,7.35,17.36,3.882344899,3.882343817,6.21765077,108.1880595,108.1880461,90.0008339,84.09103443,2.125250305,3.398330453,1.924186788,-92.71472203,-7.726226836,-2.214452725,12,2.3193,6.873201233,119,137,7.434018,7.86403,7,6,2,2,68,68,0.477,0.133,7.8,173,7.21,19.3,1517,3680,2235,5930,13.4,35,221,824,-0.26654,-0.26654,0
CrFeO4,1.4,1.4,51.9961,55.845,2,2,24,26,1.66,1.83,0.94,0.8525,7.23,7.09,6.79182934,6.79182934,6.83382081,78.01144312,78.01144312,84.83128828,301.2725024,3.403909042,1.681394358,1.907320898,-154.5495261,-6.439563588,-1.379729191,24,0.6675,3.78852856,122,116,6.76651,7.9024678,6,8,1,2,83,62,0.488,0.443,93.9,80.4,7.18,7.874,2130,1808,2945,3023,21,13.8,342,340,-0.295049,-0.295049,0
