pretty_formula,rA,rB,mA,mB,orb_A,orb_B,Z_A,Z_B,X_A,X_B,air_A,air_B,mv_A,mv_B,a,b,c,alpha,beta,gamma,volume,A_B_bond,A_O_bond,B_O_bond,energy,EPA,FEPA,nsites,Band_gap,Density,CR_A,CR_B,IE_A,IE_B,A_valence,B_valence,EPS_A,EPS_B,DP_A,DP_B,SH_A,SH_B,TC_A,TC_B,A_density,B_density,MP_A,MP_B,BP_A,BP_B,FH_A,FH_B,EH_A,EH_B,LUMO,HOMO,target
Fe2O3,1.4,1.4,55.845,55.845,2,2,26,26,1.83,1.83,0.8525,0.8525,7.09,7.09,5.10485225,5.10485225,5.495031927,62.32232309,62.32232309,60,104.6660384,2.898835,1.979837,1.979837,-67.4927644,-6.74927644,-1.907358343,10,1.5284,5.066847717,116,116,7.9024678,7.9024678,8,8,2,2,62,62,0.443,0.443,80.4,80.4,7.874,7.874,1808,1808,3023,3023,13.8,13.8,340,340,-0.295049,-0.295049,1
NbAgO3,1.45,1.6,92.90638,107.8682,2,2,41,47,1.6,1.93,0.82,1.086666667,10.83,10.27,5.662245,5.767348,15.765765,90,90,90,514.8489877,3.319498356,1.891693318,2.421157587,-146.2650655,-7.313253274,-2.179087173,20,1.0675,6.498194946,147,128,6.75885,7.576234,5,11,1,1,98,55,0.268,0.237,53.7,429,8.57,10.5,2741,1235.1,5015,2485,26.8,11.95,680,254.1,-0.157407,-0.298706,0
Nb2CdO6,1.45,1.55,92.90638,112.411,2,2,41,48,1.6,1.69,0.82,1.09,10.83,13,5.230631,5.961911,15.04688,90,90,90,469.2302794,3.525500213,1.826069455,2.271258894,-284.5625759,-7.904515996,-2.728648699,36,3.424,5.580355699,147,136,6.75885,8.993822,5,12,1,2,98,46,0.268,0.232,53.7,96.9,8.57,8.65,2741,594.1,5015,1038,26.8,6.11,680,59.1,-0.204228,-0.338381,0
SrCrO3,2,1.4,87.62,51.9961,0,2,38,24,0.95,1.66,1.32,0.94,33.94,7.23,3.8932042,3.8932042,3.8932042,90,90,90,59.00944767,3.371608817,2.752907071,1.946599258,-34.8049957,-6.96099914,-2.547694114,5,0.0312,5.279508314,185,122,5.6948672,6.76651,2,6,2,1,197.2,83,0.301,0.488,35.3,93.9,2.54,7.18,1042,2130,1657,2945,9.2,21,144,342,-0.131793,-0.150445,0
NbCoO4,1.45,1.35,92.90638,58.933195,2,2,41,27,1.6,1.88,0.82,0.768333333,10.83,6.67,3.840593998,6.42265634,6.55160353,107.0395374,90,107.3968286,146.7637773,3.160336419,1.8103803,1.880402712,-92.40692522,-7.700577102,-2.314196317,12,1.591,4.884121431,147,111,6.75885,7.88101,5,9,1,2,98,55,0.268,0.456,53.7,100,8.57,8.9,2741,1768,5015,3143,26.8,15.48,680,389.1,-0.322368,-0.322368,0
Co2SnO4,1.35,1.45,58.933195,118.71,2,1,27,50,1.88,1.96,0.768333333,0.83,6.67,16.29,6.087237997,6.20421575,6.20421575,61.07910437,60.62176822,60.62176822,168.5701571,3.102107875,2.023173649,2.069683456,-79.39120471,-5.670800336,-1.178858559,14,0,5.921746207,111,140,7.88101,7.343917,9,4,2,4,55,53,0.456,0.222,100,67,8.9,7.31,1768,505.1,3143,2543,15.48,7.07,389.1,296,-0.322368,-0.322368,0
CuFe2O4,1.4,1.35,55.845,63.546,2,2,26,29,1.83,1.9,0.8525,0.82,7.09,7.11,5.978902031,6.02001023,6.02039288,90.26600252,119.763854,119.7693488,153.9474634,3.511026689,2.014061497,1.988465702,-86.84342529,-6.203101806,-1.552464289,14,0,5.168246779,116,112,7.9024678,7.72638,8,11,2,1,62,46.5,0.443,0.385,80,400,7.874,8.96,1808,1356.6,3023,2840,13.8,13.01,340,304.6,-0.295049,-0.295049,0
ZnMn2O4,1.4,1.35,54.938045,65.409,2,2,25,30,1.55,1.65,0.648333333,0.88,7.35,9.16,5.80359243,5.80359443,6.235231255,117.6705754,117.6689026,90.12464979,158.2459875,3.447716572,1.95884323,2.008142095,-279.221698,-6.648135665,-1.904730649,42,0,5.025858014,119,118,7.434018,9.394199,7,12,2,2,68,38.67,0.477,0.388,7.8,120,7.21,7.133,1517,692.73,2235,1180,13.4,7.28,221,114.8,-0.26654,-0.26654,0
CoMn2O4,1.4,1.35,54.938045,58.933195,2,2,25,27,1.55,1.88,0.648333333,0.768333333,7.35,6.67,5.79349988,5.808135,6.23129353,117.7779903,117.5411361,89.99996054,158.1656718,3.441347504,1.955932664,1.994428323,-100.7881695,-7.199154967,-1.887913209,14,0.8007,4.888354307,119,111,7.434018,7.88101,7,9,2,2,68,55,0.477,0.456,7.8,100,7.21,8.9,1517,1768,2235,3143,13.4,15.48,221,389.1,-0.26654,-0.26654,0
TiCoO3,1.35,0.6,58.933195,15.9994,2,1,27,8,1.88,3.44,0.768333333,1.26,6.67,17.36,5.104126059,5.10844124,5.529200482,90.06678012,117.4305555,119.9700125,105.7159088,2.061261572,2.960407244,1.882418506,-157.1356987,-7.856784934,-2.683511525,20,0,4.863010328,136,111,6.82812,7.88101,4,9,2,2,100,55,0.523,0.456,22,100,4.54,8.9,1933,1768,3560,3143,18.8,15.48,422.6,389.1,-0.322368,-0.322368,1
