name,bandgap
403,1.6195
404,1.5821
405,1.6195
406,1.7868
407,1.6195
408,1.5821
409,1.5821
410,1.5821
411,1.5821
412,1.6195
413,1.5868
414,1.6195
415,1.9892
416,1.5821
417,1.7442
418,1.1928
419,2.3649
420,1.2548
421,1.1946
422,1.3775
423,1.3921
424,1.2643
425,1.5195
426,1.5195
427,1.3775
428,1.3775
429,0.5336
430,1.3906
431,1.4024
432,3.0532
433,2.3905
434,3.696
435,4.7103
436,3.696
437,4.7103
438,3.696
439,3.0532
440,4.7103
441,1.7962
442,1.7232
443,1.822
444,1.2954
445,1.2954
446,1.7421
447,1.2971
448,2.9732
449,3.376
450,3.0055
451,1.8148
452,2.2381
453,1.2761
454,1.2037
455,2.0015
456,0.2601
457,0.1323
458,0.0526
459,0.1745
460,0.1745
461,0.513
462,0.1745
463,0.1745
464,0.1648
465,2.2381
466,2.2381
467,0.0392
468,0.0392
469,0.0392
470,0.0392
471,0.0392
472,4.4111
473,2.3652
474,3.5361
475,2.7008
476,4.2797
477,3.5361
478,1.6544
479,1.6195
480,1.6851
481,1.8412
482,1.5821
483,1.8343
484,1.9175
485,1.566
486,2.6234
487,2.6234
488,2.6234
489,2.3649
490,2.3649
491,2.6234
492,3.1509
493,4.0248
494,2.8537
495,2.3763
496,2.8537
497,1.642
498,1.2954
499,1.2954
500,1.5741
501,1.642
502,1.662
503,1.642
504,1.642
505,1.642
506,1.642
507,1.4024
508,1.4024
509,2.4175
510,2.4844
511,1.2954
512,1.1896
513,1.2515
514,1.2836
515,1.2515
516,2.2381
517,2.3123
518,1.7018
519,1.3073
520,2.4175
521,1.591
522,0.7925
523,0.0352
524,0.2372
525,0.2372
