pretty_formula,band_gap,B_O_bond,c,A_O_bond,A_B_bond,B_specific_heat,gamma,A_thermal_conductivity,mv_A,energy_per_atom,energy,X_A,a,b,A_melting_point,target
VBiO4,2.2378,2.293450719,6.46780191,1.698844609,3.300446672,0.124,63.99888125,30.7,8.32,-6.854568936,-82.25482723,1.63,6.14887432,6.303916005,2160,0
CdWO4,3.2559,1.833890398,5.991492,2.271011675,3.673890044,0.133,92.09542192,96.9,13,-6.406505384,-76.87806461,1.69,5.103535,5.19925965,594.1,0
LaMnO3,0.9616,2.0079255,5.565174,2.534899904,3.430745909,0.477,90,13.4,22.39,-7.418709039,-148.3741808,1.1,4.015851,5.563543,1194,0
V2O5,2.166,1.609841,11.551508,1.609841,1.908781,0.485,90,30.7,8.32,-7.442249519,-104.1914933,1.63,3.618658,4.797293,2160,1
MoO3,1.3723,1.778721,8.008298559,1.778721,2.275839,0.251,90,138,9.38,-7.031069834,-224.9942347,2.16,7.436809,7.795754,2890,0
Al2O3,5.8537,1.873219,5.17795526,1.873219,2.678234,0.9,60,237,10,-7.481357943,-74.81357943,1.61,4.80502783,4.80502783,933.5,0
Ga2O3,2.0084,1.971246,6.414204999,1.967048,3.161544,0.372,90,28.1,11.8,-6.0368049,-60.368049,1.81,3.082968,5.87615358,302.93,0
MnWO4,2.3193,1.924186788,6.21765077,3.398330453,2.125250305,0.133,90.0008339,7.8,7.35,-7.726226836,-92.71472203,1.55,3.882344899,3.882343817,1517,0
CrFeO4,0.6675,1.907320898,6.83382081,1.681394358,3.403909042,0.443,84.83128828,93.9,7.23,-6.439563588,-154.5495261,1.66,6.79182934,6.79182934,2130,0
LaCrO3,1.9218,2.021477609,7.879166,2.403642722,3.257205555,0.488,90.00002052,13.4,22.39,-8.179751716,-40.89875858,1.1,5.561333,5.608065,1194,0
CaZrO3,3.4707,2.120608846,8.106924,2.343980467,3.31348186,0.281,90,201,26.2,-8.312046398,-332.4818559,1,5.638372,5.833226,1112,0
Zn(GaO2)2,2.3123,2.020488566,5.98141768,2.003122779,3.506916969,0.372,60,116,9.16,-5.656917821,-79.1968495,1.65,5.98141768,5.98141768,692.73,0
SmMn2O5,1.1011,1.910019076,8.67377,2.382487453,3.379828795,0.477,90,13.3,19.98,-6.908561496,-221.0739679,1.17,5.814199,7.505496,1350,0
SrMoO4,3.8074,1.80399559,7.23921114,2.614896703,3.881159217,0.251,90.00000001,35.3,33.94,-7.061521948,-84.73826338,0.95,5.488788002,5.488788002,1042,0
MnNb2O6,2.5103,1.834793289,14.651016,2.167901418,3.569158216,0.268,90,7.8,7.35,-8.497158696,-305.8977131,1.55,5.148277,5.896774,1517,0
Ta2NiO6,2.7623,2.098834251,9.177888,1.987164981,3.041093189,0.443,90,57.5,10.85,-8.386881129,-150.9638603,1.5,4.777402,4.777402,3269,0
Mn2CdO4,0.8878,2.191927351,6.512191441,1.966684158,3.538597434,0.232,90.12982614,7.8,7.35,-6.575490234,-92.05686328,1.55,5.92959148,5.92958934,1517,0
MgAl2O4,4.5557,1.889889336,8.76286551,2.110338961,2.788601739,0.9,90,156,14,-7.085796496,-396.8046038,1.31,2.831636,8.762866,922,0
TiO2,2.6786,1.781132,6.61621224,1.781132,2.542338,0.523,107.0181414,21.9,17.36,-8.974092661,-107.6891119,3.44,3.766936,6.435368024,1933,0
Fe2O3,1.5284,1.979837,5.495031927,1.979837,2.898835,0.443,60,80.4,7.09,-6.74927644,-67.4927644,1.83,5.10485225,5.10485225,1808,1
NbAgO3,1.0675,2.421157587,15.765765,1.891693318,3.319498356,0.237,90,53.7,10.83,-7.313253274,-146.2650655,1.6,5.662245,5.767348,2741,0
Nb2CdO6,3.424,2.271258894,15.04688,1.826069455,3.525500213,0.232,90,53.7,10.83,-7.904515996,-284.5625759,1.6,5.230631,5.961911,2741,0
SrCrO3,0.0312,1.946599258,3.8932042,2.752907071,3.371608817,0.488,90,35.3,33.94,-6.96099914,-34.8049957,0.95,3.8932042,3.8932042,1042,0
NbCoO4,1.591,1.880402712,6.55160353,1.8103803,3.160336419,0.456,107.3968286,53.7,10.83,-7.700577102,-92.40692522,1.6,3.840593998,6.42265634,2741,0
Co2SnO4,0,2.069683456,6.20421575,2.023173649,3.102107875,0.222,60.62176822,100,6.67,-5.670800336,-79.39120471,1.88,6.087237997,6.20421575,1768,0
CuFe2O4,0,1.988465702,6.02039288,2.014061497,3.511026689,0.385,119.7693488,80,7.09,-6.203101806,-86.84342529,1.83,5.978902031,6.02001023,1808,0
ZnMn2O4,0,2.008142095,6.235231255,1.95884323,3.447716572,0.388,90.12464979,7.8,7.35,-6.648135665,-279.221698,1.55,5.80359243,5.80359443,1517,0
CoMn2O4,0.8007,1.994428323,6.23129353,1.955932664,3.441347504,0.456,89.99996054,7.8,7.35,-7.199154967,-100.7881695,1.55,5.79349988,5.808135,1517,0
TiCoO3,0,1.882418506,5.529200482,2.960407244,2.061261572,0.456,119.9700125,22,6.67,-7.856784934,-157.1356987,1.88,5.104126059,5.10844124,1933,1
